input_symbol,expression_symbol,match_mode,expression_row_1based,prevalence_cells,included_after_prevalence
SLC25A28,SLC25A28,exact,19744.0,11500.0,True
SLC26A11,SLC26A11,exact,28346.0,6501.0,True
SLC43A2,SLC43A2,exact,26620.0,9843.0,True
SLC25A42,SLC25A42,exact,30793.0,3489.0,True
SLC41A3,SLC41A3,exact,6440.0,15691.0,True
SLC37A4,SLC37A4,exact,18664.0,5162.0,True
SLC25A44,SLC25A44,exact,2040.0,10252.0,True
SLC16A2,SLC16A2,exact,13867.0,4505.0,True
SLCO2B1,SLCO2B1,exact,18246.0,7188.0,True
SLC7A8,SLC7A8,exact,22788.0,8737.0,True
SLC44A2,SLC44A2,exact,30457.0,17368.0,True
SLC8B1,SLC8B1,exact,21543.0,4666.0,True
SLC12A4,SLC12A4,exact,26171.0,7232.0,True
SLC35E2B,SLC35E2B,exact,75.0,6162.0,True
SLCO3A1,SLCO3A1,exact,24928.0,9709.0,True
SLC12A7,SLC12A7,exact,8527.0,6063.0,True
SLC29A3,SLC29A3,exact,19431.0,2338.0,True
SLC48A1,SLC48A1,exact,20652.0,13068.0,True
SLC38A10,SLC38A10,exact,28372.0,18492.0,True
SLC39A1,SLC39A1,exact,1954.0,28122.0,True
SLC35B2,SLC35B2,exact,10922.0,13445.0,True
SLC35C2,SLC35C2,exact,29750.0,14862.0,True
SLC9A1,SLC9A1,exact,583.0,4175.0,True
SLC38A7,SLC38A7,exact,26060.0,5501.0,True
SLC22A18,SLC22A18,exact,17075.0,10743.0,True
SLC22A6,SLC22A6,exact,17886.0,22.0,True
SLC16A5,SLC16A5,exact,28208.0,7720.0,True
SLC52A1,SLC52A1,exact,26742.0,78.0,True
SLC16A3,SLC16A3,exact,28438.0,13933.0,True
SLC46A1,SLC46A1,exact,27174.0,2897.0,True
SLC19A1,SLC19A1,exact,33445.0,2930.0,True
SLC29A4,SLC29A4,exact,11875.0,1611.0,True
SLC25A19,SLC25A19,exact,28218.0,4519.0,True
SLC52A2,SLC52A2,exact,15691.0,14452.0,True
SLC2A8,SLC2A8,exact,16649.0,8563.0,True
SLC39A3,SLC39A3,exact,30159.0,16628.0,True
SLC25A11,SLC25A11,exact,26729.0,28319.0,True
SLC35E4,SLC35E4,exact,32552.0,2019.0,True
SLC27A1,SLC27A1,exact,30728.0,6229.0,True
SLC4A2,SLC4A2,exact,13243.0,12676.0,True
SLC35A4,SLC35A4,exact,9625.0,12764.0,True
SLC39A13,SLC39A13,exact,17606.0,14627.0,True
SLC25A39,SLC25A39,exact,27685.0,23034.0,True
SLC9A3R1,SLC9A3R1,exact,28193.0,13338.0,True
SLC12A9,SLC12A9,exact,12668.0,8155.0,True
SLC27A4,SLC27A4,exact,16689.0,7281.0,True
SLC25A23,SLC25A23,exact,30297.0,13606.0,True
SLCO4A1,SLCO4A1,exact,29951.0,1740.0,True
SLC15A3,SLC15A3,exact,17798.0,6881.0,True
SLC22A8,SLC22A8,exact,17887.0,68.0,True
SLC3A2,SLC3A2,exact,17883.0,36488.0,True
SLC2A1,SLC2A1,exact,877.0,10714.0,True
SLC7A5,SLC7A5,exact,26498.0,11504.0,True
SLC9A3R2,SLC9A3R2,exact,25187.0,25636.0,True
SLC27A3,SLC27A3,exact,1949.0,10070.0,True
SLC29A1,SLC29A1,exact,10920.0,10049.0,True
SLC2A4RG,SLC2A4RG,exact,30008.0,24267.0,True
SLC25A1,SLC25A1,exact,32205.0,16203.0,True
SLC1A5,SLC1A5,exact,31478.0,9240.0,True
SLC25A45,SLC25A45,exact,17982.0,6161.0,True
SLC50A1,SLC50A1,exact,1999.0,12690.0,True
SLC35A2,SLC35A2,exact,13657.0,10947.0,True
SLC35C1,SLC35C1,exact,17566.0,7620.0,True
SLC7A4,SLC7A4,exact,32262.0,440.0,True
SLC22A16,SLC22A16,exact,11289.0,143.0,True
SLC25A37,SLC25A37,exact,14676.0,23586.0,True
SLC4A1,SLC4A1,exact,27681.0,95.0,True
SLC13A5,SLC13A5,exact,26773.0,374.0,True
SLC16A13,SLC16A13,exact,26787.0,243.0,True
SLC16A10,SLC16A10,exact,11295.0,2894.0,True
SLC16A12,SLC16A12,exact,19624.0,2433.0,True
SLC4A4,SLC4A4,exact,7683.0,22630.0,True
SLC30A8,SLC30A8,exact,15421.0,2.0,False
SLC38A5,SLC38A5,exact,13637.0,2295.0,True
SLC30A2,SLC30A2,exact,550.0,68.0,True
SLC39A5,SLC39A5,exact,20960.0,52.0,True
SLC39A7,SLC39A7,exact,10708.0,22543.0,True
SLC2A10,SLC2A10,exact,29758.0,7783.0,True
SLC28A3,SLC28A3,exact,16233.0,106.0,True
SLC12A8,SLC12A8,exact,6432.0,4467.0,True
SLC7A1,SLC7A1,exact,21980.0,7604.0,True
SLC12A2,SLC12A2,exact,9444.0,20966.0,True
SLC37A3,SLC37A3,exact,13020.0,8574.0,True
SLC9A3,SLC9A3,exact,8512.0,4330.0,True
SLC9A2,SLC9A2,exact,4232.0,231.0,True
SLC20A1,SLC20A1,exact,4341.0,15790.0,True
SLC37A2,SLC37A2,exact,18767.0,775.0,True
SLC14A2,SLC14A2,exact,28828.0,83.0,True
SLC16A1,SLC16A1,exact,1595.0,17345.0,True
SLC26A3,SLC26A3,exact,12766.0,43.0,True
SLC25A24,SLC25A24,exact,1477.0,15997.0,True
SLC35G1,SLC35G1,exact,19671.0,12328.0,True
SLC28A2,SLC28A2,exact,24277.0,71.0,True
SLC18B1,SLC18B1,exact,11441.0,5117.0,True
SLC5A4,SLC5A4,exact,32589.0,62.0,True
SLC5A1,SLC5A1,exact,32582.0,21.0,True
SLC15A1,SLC15A1,exact,22379.0,18.0,False
SLC51B,SLC51B,exact,24507.0,10.0,False
SLC10A2,SLC10A2,exact,22425.0,0.0,False
SLC35F2,SLC35F2,exact,18499.0,5025.0,True
SLC35A3,SLC35A3,exact,1431.0,10681.0,True
SLC35B3,SLC35B3,exact,10267.0,10421.0,True
SLC7A7,SLC7A7,exact,22767.0,4827.0,True
SLC28A1,SLC28A1,exact,24834.0,48.0,True
SLC6A19,SLC6A19,exact,8529.0,0.0,False
SLC7A9,SLC7A9,exact,30957.0,99.0,True
SLC44A4,SLC44A4,exact,10648.0,127.0,True
SLC25A5,SLC25A5,exact,14076.0,45569.0,True
SLC44A3,SLC44A3,exact,1397.0,1146.0,True
SLC35D2,SLC35D2,exact,16347.0,15427.0,True
SLC39A11,SLC39A11,exact,28153.0,8561.0,True
SLC25A47,SLC25A47,exact,23617.0,22.0,True
SLC27A5,SLC27A5,exact,32027.0,7756.0,True
SLCO1A2,SLCO1A2,exact,20448.0,643.0,True
SLC19A3,SLC19A3,exact,5237.0,170.0,True
SLC30A10,SLC30A10,exact,2797.0,159.0,True
SLC25A25,SLC25A25,exact,16675.0,14954.0,True
SLC10A5,SLC10A5,exact,15163.0,270.0,True
SLC41A2,SLC41A2,exact,21420.0,6755.0,True
SLC17A4,SLC17A4,exact,10394.0,3.0,False
SLC17A2,SLC17A2,exact,10397.0,0.0,False
SLC2A2,SLC2A2,exact,6848.0,1.0,False
SLCO1B1,SLCO1B1,exact,20447.0,1.0,False
SLC39A14,SLC39A14,exact,14644.0,18357.0,True
SLC38A4,SLC38A4,exact,20638.0,611.0,True
SLC22A1,SLC22A1,exact,11685.0,167.0,True
SLC25A15,SLC25A15,exact,22066.0,1530.0,True
SLC30A1,SLC30A1,exact,2728.0,8855.0,True
SLC46A3,SLC46A3,exact,21976.0,6464.0,True
SLC25A20,SLC25A20,exact,5875.0,3779.0,True
SLC25A13,SLC25A13,exact,12574.0,11751.0,True
SLC31A1,SLC31A1,exact,16500.0,13083.0,True
SLC6A13,SLC6A13,exact,20112.0,3076.0,True
SLC47A1,SLC47A1,exact,27093.0,19576.0,True
SLC47A2,SLC47A2,exact,27097.0,222.0,True
SLC4A9,SLC4A9,exact,9618.0,16.0,False
SLC22A2,SLC22A2,exact,11686.0,328.0,True
SLC7A13,SLC7A13,exact,15194.0,0.0,False
SLC23A1,SLC23A1,exact,9591.0,44.0,True
SLC23A3,SLC23A3,exact,5150.0,748.0,True
SLC12A3,SLC12A3,exact,26010.0,73.0,True
SLC22A13,SLC22A13,exact,5704.0,4.0,False
SLC22A12,SLC22A12,exact,17941.0,0.0,False
SLC36A2,SLC36A2,exact,9827.0,2.0,False
SLC13A3,SLC13A3,exact,29755.0,2975.0,True
SLC2A5,SLC2A5,exact,206.0,3709.0,True
SLC7A10,SLC7A10,exact,30965.0,43.0,True
SLC5A10,SLC5A10,exact,27068.0,38.0,True
SLC13A2,SLC13A2,exact,27177.0,0.0,False
SLC34A3,SLC34A3,exact,16932.0,2.0,False
SLC5A2,SLC5A2,exact,25796.0,121.0,True
SLC6A18,SLC6A18,exact,8530.0,0.0,False
SLC34A1,SLC34A1,exact,10068.0,1.0,False
SLC22A11,SLC22A11,exact,17940.0,50.0,True
SLC12A1,SLC12A1,exact,24303.0,633.0,True
SLC1A1,SLC1A1,exact,15761.0,1484.0,True
SLC13A1,SLC13A1,exact,12851.0,0.0,False
SLC27A2,SLC27A2,exact,24327.0,717.0,True
SLC17A1,SLC17A1,exact,10395.0,0.0,False
SLC17A3,SLC17A3,exact,10396.0,10.0,False
SLC16A9,SLC16A9,exact,19340.0,10149.0,True
SLC5A12,SLC5A12,exact,17415.0,351.0,True
SLC16A4,SLC16A4,exact,1542.0,8626.0,True
SLC3A1,SLC3A1,exact,3621.0,249.0,True
SLC6A16,SLC6A16,exact,31585.0,618.0,True
SLC25A31,SLC25A31,exact,8072.0,10.0,False
SLC52A3,SLC52A3,exact,29157.0,453.0,True
SLC25A46,SLC25A46,exact,9311.0,12321.0,True
SLC38A9,SLC38A9,exact,8909.0,8143.0,True
SLC25A52,SLC25A52,exact,28756.0,37.0,True
SLC9C2,SLC9C2,exact,2340.0,164.0,True
SLC9B1,SLC9B1,exact,7917.0,2541.0,True
SLC9C1,SLC9C1,exact,6302.0,56.0,True
SLCO6A1,SLCO6A1,exact,9278.0,4.0,False
SLC25A51,SLC25A51,exact,16050.0,3762.0,True
SLC16A7,SLC16A7,exact,21048.0,3164.0,True
SLC22A14,SLC22A14,exact,5705.0,93.0,True
SLC25A2,SLC25A2,exact,9683.0,21.0,True
SLC26A8,SLC26A8,exact,10771.0,37.0,True
SLC26A2,SLC26A2,exact,9797.0,33053.0,True
SLC25A21,SLC25A21,exact,22952.0,1081.0,True
SLC19A2,SLC19A2,exact,2294.0,5662.0,True
SLC39A6,SLC39A6,exact,28801.0,22913.0,True
SLC25A36,SLC25A36,exact,6605.0,29094.0,True
SLC30A9,SLC30A9,exact,7498.0,16291.0,True
SLC35B4,SLC35B4,exact,12964.0,12236.0,True
SLC35A5,SLC35A5,exact,6308.0,11455.0,True
SLC25A32,SLC25A32,exact,15365.0,10104.0,True
SLC35E3,SLC35E3,exact,21123.0,13219.0,True
SLC11A2,SLC11A2,exact,20759.0,13022.0,True
SLC39A9,SLC39A9,exact,23250.0,10883.0,True
SLC30A7,SLC30A7,exact,1449.0,14543.0,True
SLC10A7,SLC10A7,exact,8199.0,2636.0,True
SLC35D1,SLC35D1,exact,1183.0,5761.0,True
SLC35A1,SLC35A1,exact,11163.0,12789.0,True
SLC35F5,SLC35F5,exact,4367.0,16109.0,True
SLC25A40,SLC25A40,exact,12504.0,4665.0,True
SLC30A6,SLC30A6,exact,3522.0,8766.0,True
SLC33A1,SLC33A1,exact,6738.0,11203.0,True
SLC30A5,SLC30A5,exact,9005.0,14145.0,True
SLC25A34,SLC25A34,exact,341.0,680.0,True
SLC2A4,SLC2A4,exact,26802.0,446.0,True
SLC7A2,SLC7A2,exact,14588.0,18176.0,True
SLC20A2,SLC20A2,exact,14873.0,21783.0,True
SLCO5A1,SLCO5A1,exact,15062.0,784.0,True
SLC22A3,SLC22A3,exact,11688.0,2184.0,True
SLC25A16,SLC25A16,exact,19389.0,7701.0,True
SLC27A6,SLC27A6,exact,9446.0,693.0,True
SLC25A30,SLC25A30,exact,22117.0,3604.0,True
SLC25A3,SLC25A3,exact,21356.0,50596.0,True
SLC25A12,SLC25A12,exact,4721.0,7994.0,True
SLC26A10,SLC26A10,exact,21018.0,1441.0,True
SLC41A1,SLC41A1,exact,2652.0,11163.0,True
SLC25A26,SLC25A26,exact,6108.0,14694.0,True
SLC25A43,SLC25A43,exact,14075.0,6755.0,True
SLC38A2,SLC38A2,exact,20632.0,42335.0,True
SLC5A9,SLC5A9,exact,990.0,50.0,True
SLC10A6,SLC10A6,exact,7809.0,205.0,True
SLC39A2,SLC39A2,exact,22605.0,103.0,True
SLC46A2,SLC46A2,exact,16492.0,41.0,True
SLC45A3,SLC45A3,exact,2649.0,1226.0,True
SLC37A1,SLC37A1,exact,33344.0,1677.0,True
SLC26A9,SLC26A9,exact,2654.0,54.0,True
SLC9A4,SLC9A4,exact,4231.0,38.0,True
SLC22A31,SLC22A31,exact,26543.0,231.0,True
SLCO2A1,SLCO2A1,exact,6543.0,4873.0,True
SLC34A2,SLC34A2,exact,7403.0,410.0,True
SLC6A4,SLC6A4,exact,27240.0,1338.0,True
SLC39A8,SLC39A8,exact,7909.0,3861.0,True
SLC6A14,SLC6A14,exact,14060.0,0.0,False
Aadac,AADAC,case_insensitive_unique,6707.0,10.0,False
Aadat,AADAT,case_insensitive_unique,8352.0,1894.0,True
Aars2,AARS2,case_insensitive_unique,10927.0,2253.0,True
Aasdh,AASDH,case_insensitive_unique,7587.0,8820.0,True
Aass,AASS,case_insensitive_unique,12841.0,6254.0,True
Abat,ABAT,case_insensitive_unique,25345.0,2953.0,True
Abhd1,ABHD1,case_insensitive_unique,3448.0,370.0,True
Abhd10,ABHD10,case_insensitive_unique,6296.0,9007.0,True
Abhd11,ABHD11,case_insensitive_unique,12413.0,7020.0,True
Abhd12,ABHD12,case_insensitive_unique,29454.0,15379.0,True
Abhd12b,ABHD12B,case_insensitive_unique,23043.0,323.0,True
Abhd13,ABHD13,case_insensitive_unique,22441.0,11712.0,True
Abhd14a,ABHD14A,case_insensitive_unique,5973.0,17078.0,True
Abhd14b,ABHD14B,case_insensitive_unique,5972.0,17660.0,True
Abhd15,ABHD15,case_insensitive_unique,27224.0,4152.0,True
Abhd16a,ABHD16A,case_insensitive_unique,10626.0,1782.0,True
Abhd16b,ABHD16B,case_insensitive_unique,30013.0,8.0,False
Abhd17a,ABHD17A,case_insensitive_unique,30128.0,27113.0,True
Abhd17b,ABHD17B,case_insensitive_unique,16165.0,9172.0,True
Abhd17c,ABHD17C,case_insensitive_unique,24767.0,8157.0,True
Abhd2,ABHD2,case_insensitive_unique,24867.0,19276.0,True
Abhd3,ABHD3,case_insensitive_unique,28673.0,6151.0,True
Abhd4,ABHD4,case_insensitive_unique,22764.0,4230.0,True
Abhd5,ABHD5,case_insensitive_unique,5773.0,21976.0,True
Abhd6,ABHD6,case_insensitive_unique,6057.0,5165.0,True
Abhd8,ABHD8,case_insensitive_unique,30711.0,5863.0,True
Acaa1a,,unmatched,,,False
Acaa1b,,unmatched,,,False
Acaa2,ACAA2,case_insensitive_unique,28876.0,9203.0,True
Acaca,ACACA,case_insensitive_unique,27409.0,9178.0,True
Acacb,ACACB,case_insensitive_unique,21472.0,4834.0,True
Acad10,ACAD10,case_insensitive_unique,21515.0,4306.0,True
Acad11,ACAD11,case_insensitive_unique,6525.0,824.0,True
Acad12,,unmatched,,,False
Acad8,ACAD8,case_insensitive_unique,18864.0,8651.0,True
Acad9,ACAD9,case_insensitive_unique,6484.0,9926.0,True
Acadl,ACADL,case_insensitive_unique,5048.0,2337.0,True
Acadm,ACADM,case_insensitive_unique,1245.0,17709.0,True
Acads,ACADS,case_insensitive_unique,21657.0,7185.0,True
Acadsb,ACADSB,case_insensitive_unique,19986.0,6058.0,True
Acadvl,ACADVL,case_insensitive_unique,26793.0,29462.0,True
Acat1,ACAT1,case_insensitive_unique,18503.0,24295.0,True
Acat2,ACAT2,case_insensitive_unique,11677.0,15196.0,True
Acat3,,unmatched,,,False
Acer1,ACER1,case_insensitive_unique,30289.0,56.0,True
Acer2,ACER2,case_insensitive_unique,15849.0,57.0,True
Acer3,ACER3,case_insensitive_unique,18283.0,12397.0,True
Ache,ACHE,case_insensitive_unique,12673.0,2711.0,True
Acly,ACLY,case_insensitive_unique,27582.0,17861.0,True
Acmsd,ACMSD,case_insensitive_unique,4513.0,4.0,False
Aco1,ACO1,case_insensitive_unique,15914.0,14834.0,True
Aco2,ACO2,case_insensitive_unique,32787.0,17669.0,True
Acot1,ACOT1,case_insensitive_unique,23299.0,289.0,True
Acot10,,unmatched,,,False
Acot11,ACOT11,case_insensitive_unique,1077.0,4091.0,True
Acot12,ACOT12,case_insensitive_unique,9142.0,6.0,False
Acot13,ACOT13,case_insensitive_unique,10379.0,18974.0,True
Acot2,ACOT2,case_insensitive_unique,23300.0,4275.0,True
Acot3,,unmatched,,,False
Acot4,ACOT4,case_insensitive_unique,23301.0,1903.0,True
Acot5,,unmatched,,,False
Acot6,ACOT6,case_insensitive_unique,23302.0,22.0,True
Acot7,ACOT7,case_insensitive_unique,162.0,8913.0,True
Acot8,ACOT8,case_insensitive_unique,29733.0,9622.0,True
Acot9,ACOT9,case_insensitive_unique,13491.0,19863.0,True
Acox1,ACOX1,case_insensitive_unique,28247.0,15292.0,True
Acox2,ACOX2,case_insensitive_unique,6066.0,3860.0,True
Acox3,ACOX3,case_insensitive_unique,7280.0,5014.0,True
Acp1,ACP1,case_insensitive_unique,3156.0,29178.0,True
Acp2,ACP2,case_insensitive_unique,17599.0,12639.0,True
Acp5,ACP5,case_insensitive_unique,30494.0,3246.0,True
Acp6,ACP6,case_insensitive_unique,1747.0,5155.0,True
Acp7,ACP7,case_insensitive_unique,31186.0,70.0,True
Acpp,ACPP,case_insensitive_unique,6523.0,309.0,True
Acsbg1,ACSBG1,case_insensitive_unique,24725.0,124.0,True
Acsbg2,ACSBG2,case_insensitive_unique,30286.0,121.0,True
Acsf2,ACSF2,case_insensitive_unique,27877.0,6743.0,True
Acsf3,ACSF3,case_insensitive_unique,26538.0,6978.0,True
Acsl1,ACSL1,case_insensitive_unique,8441.0,10061.0,True
Acsl2,,unmatched,,,False
Acsl3,ACSL3,case_insensitive_unique,5201.0,31174.0,True
Acsl4,ACSL4,case_insensitive_unique,14033.0,14827.0,True
Acsl5,ACSL5,case_insensitive_unique,19888.0,4405.0,True
Acsl6,ACSL6,case_insensitive_unique,9462.0,407.0,True
Acsm1,ACSM1,case_insensitive_unique,25526.0,103.0,True
Acsm2,,unmatched,,,False
Acsm3,ACSM3,case_insensitive_unique,25525.0,1249.0,True
Acsm4,ACSM4,case_insensitive_unique,20252.0,5.0,False
Acsm5,ACSM5,case_insensitive_unique,25520.0,768.0,True
Acss1,ACSS1,case_insensitive_unique,29444.0,4260.0,True
Acss2,ACSS2,case_insensitive_unique,29554.0,5744.0,True
Acss3,ACSS3,case_insensitive_unique,21229.0,5384.0,True
Acyp1,ACYP1,case_insensitive_unique,23342.0,11327.0,True
Acyp2,ACYP2,case_insensitive_unique,3695.0,9954.0,True
Ada,ADA,case_insensitive_unique,29687.0,6783.0,True
Adcy1,ADCY1,case_insensitive_unique,12261.0,1683.0,True
Adcy10,ADCY10,case_insensitive_unique,2272.0,169.0,True
Adcy2,ADCY2,case_insensitive_unique,8602.0,14855.0,True
Adcy3,ADCY3,case_insensitive_unique,3409.0,6305.0,True
Adcy4,ADCY4,case_insensitive_unique,22850.0,1468.0,True
Adcy5,ADCY5,case_insensitive_unique,6417.0,9528.0,True
Adcy6,ADCY6,case_insensitive_unique,20689.0,9226.0,True
Adcy7,ADCY7,case_insensitive_unique,25910.0,7293.0,True
Adcy8,ADCY8,case_insensitive_unique,15533.0,29.0,True
Adcy9,ADCY9,case_insensitive_unique,25294.0,5748.0,True
Adh1,,unmatched,,,False
Adh1a,ADH1A,case_insensitive_unique,7888.0,1.0,False
Adh1b,ADH1B,case_insensitive_unique,7889.0,185.0,True
Adh1c,ADH1C,case_insensitive_unique,7890.0,30.0,True
Adh3,,unmatched,,,False
Adh4,ADH4,case_insensitive_unique,7886.0,0.0,False
Adh5,ADH5,case_insensitive_unique,7884.0,30239.0,True
Adh6,ADH6,case_insensitive_unique,7887.0,1.0,False
Adh7,ADH7,case_insensitive_unique,7891.0,0.0,False
Adhfe1,ADHFE1,case_insensitive_unique,15038.0,3104.0,True
Adk,ADK,case_insensitive_unique,19489.0,11981.0,True
Adsl,ADSL,case_insensitive_unique,32762.0,10518.0,True
Adss,ADSS,case_insensitive_unique,3062.0,20114.0,True
Adssl1,ADSSL1,case_insensitive_unique,23707.0,3029.0,True
Afg3l1,,unmatched,,,False
Afg3l2,AFG3L2,case_insensitive_unique,28625.0,16605.0,True
Afmid,AFMID,case_insensitive_unique,28302.0,6045.0,True
Agk,AGK,case_insensitive_unique,13034.0,6200.0,True
Agmat,AGMAT,case_insensitive_unique,334.0,1094.0,True
Agpat1,AGPAT1,case_insensitive_unique,10673.0,18561.0,True
Agpat2,AGPAT2,case_insensitive_unique,16878.0,14395.0,True
Agpat3,AGPAT3,case_insensitive_unique,33376.0,11370.0,True
Agpat4,AGPAT4,case_insensitive_unique,11697.0,7001.0,True
Agpat5,AGPAT5,case_insensitive_unique,14457.0,10467.0,True
Agpat6,,unmatched,,,False
Agpat9,,unmatched,,,False
